Bảng Tổng vốn đầu tư (CAPEX);;;;;;;;;;;;;;;;;;;;
STT;Hạng mục (Items);Thành tiền (VNĐ);Khấu hao (Tháng);Khấu hao/Tháng;;;;;;;;;;;;;;;;
2. Lương nhân sự (4 người);2 ca x 3 nhân sự (23k/h);₫184.000;2;30;₫11.040.000;;;;;;;;;;;;;;;
3. Điện, nước, Internet, App;Biến đổi;₫4.000.000;;;₫4.000.000;;;;;;;;;;;;;;;
4. Khấu hao tài sản;Từ bảng CapEx;₫2.220.583;;;₫2.220.583;;;;;;;;;;;;;;;
V. LỢI NHUẬN RÒNG (NP);(III) - (IV);;;;₫95.050.417;25.9%;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Bảng tính P&L (Lợi nhuận) giả định cho 1 tháng hoạt động của quán. ;;;;;;;;;;;;;;;;;;;;
STT;Hạng mục (Items);Đơn vị;Kịch bản Cơ sở;Ghi chú;;;;;;;;;;;;;;;;
A;DOANH THU;VNĐ;₫139.500.000;;;;;;;;;;;;;;;;;
B;GIÁ VỐN HÀNG BÁN (COGS);VNĐ;₫27.189.000;35% Doanh thu;;;;;;;;;;;;;;;;
C;LỢI NHUẬN GỘP (GP);VNĐ;₫112.311.000;(A - B);;;;;;;;;;;;;;;;
D;CHI PHÍ VẬN HÀNH (OPEX);VNĐ;₫17.260.583;;;;;;;;;;;;;;;;;
1;Thuê mặt bằng;VNĐ;₫0;Vị trí trung tâm Cà Mau;;;;;;;;;;;;;;;;
2;Nhân sự (2 Part-time, 1Fulltime);VNĐ;₫11.040.000;23k/giờ;;;;;;;;;;;;;;;;
3;Điện, nước, Internet;VNĐ;₫4.000.000;;;;;;;;;;;;;;;;;
E;LỢI NHUẬN RÒNG (NET);VNĐ;₫95.050.417;(C - D);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Nhóm hàng;Sản lượng (A);Giá bán (B);Giá vốn (C);Doanh thu (AxB);;;;;;;;;;;;;;;;
Cafe;1,8;₫35.000;₫11;63,000,000;;;;;;;;;;;;;;;;
Bánh;600;₫45.000;₫18;27,000,000;;;;;;;;;;;;;;;;
Merchs;450;₫110;₫59;49,500,000;;;;;;;;;;;;;;;;
TỔNG;2,85;;;139,500,000;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Chỉ số (KPIs);Giá trị2;Công thức sử dụng;;;;;;;;;;;;;;;;;;
Doanh thu hòa vốn;#VALUE!;OpEx / GP_%;;;;;;;;;;;;;;;;;;
Sản lượng hòa vốn;~373 món;BE_Revenue / Avg_Price;;;;;;;;;;;;;;;;;;
Biên an toàn;79%;(Doanh_thu_thực - Hòa_vốn) / Doanh_thu_thực;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
